type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
small_set_transformer,1,10,37953,10,0,10,sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,101,0.001259079730307986,0.00018676895524549764,0.00019978345699200872
deepsets_mlp_sum,1,10,251,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,121,0.00016052334082159052,2.2268429322735983e-07,2.3626003731180845e-07
deepsets_mlp_max,1,10,251,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,112,74.99790915713947,80.46930265426636,79.59837079048157
deepsets_mlp_fspool,1,10,361,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,111,0.0016882229548103684,1.543452037822135e-05,2.5212262869445112e-05
mlp,1,10,121,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,113,1.5647529261178145e-05,5.654100938556894e-07,5.819626807124223e-07
sorted_mlp,1,10,121,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,89,6.0879776969489334e-05,1.077992280329454e-05,1.1331526053481866e-05
pna,1,10,141,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,309,0.03992920329758696,0.04281880136113614,0.03736498625949025
small_set_transformer,1,10,37953,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,87,0.0027428727848551704,9.345642547486932e-05,9.564574838805129e-05
deepsets_mlp_sum,1,10,251,10,0,10,sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,37,0.000511989224265377,0.0003593718465708662,0.0003232342714909464
deepsets_mlp_max,1,10,251,10,0,10,sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,87,61.038946844210294,59.13206219673157,66.6280345916748
deepsets_mlp_fspool,1,10,361,10,0,10,sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,140,0.0012055144167273395,8.946879091809024e-06,8.444795838613572e-06
