type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
sorted_mlp,1,10,121,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,179,0.41953349009061314,0.4262299807742238,0.41995056718587875
pna,1,10,141,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,85,0.000116929818901484,8.100405671029876e-05,7.797127477715549e-05
small_set_transformer,1,10,37953,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,31,0.38530023291612125,0.37854453828185797,0.39485714584589005
deepsets_mlp_sum,1,10,251,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,65,0.052969067292228625,0.05131888249889016,0.049016500473953784
deepsets_mlp_max,1,10,251,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,31,0.46490886465759035,0.4348243558779359,0.5000669732689857
deepsets_mlp_fspool,1,10,361,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,139,0.1866401599328609,0.14590671798214316,0.15323429252021015
mlp,1,10,121,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,241,0.2816932255010696,0.24678391125053167,0.29104494117200375
sorted_mlp,1,10,121,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,199,0.6680266879926062,0.685412248596549,0.6980292238295078
pna,1,10,141,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,77,0.0001382464254263842,8.382141459151171e-05,0.00010106150011779391
small_set_transformer,1,10,37953,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,19,0.5876209143620388,0.577980799600482,0.5832998938858509
deepsets_mlp_sum,1,10,251,10,0,10,mean,False,10000,1000,1000,5.0058475,1.483919620513916,0.0,10.0,5.0,5.0,1.7536474466323853,4.9512653,1.4825482368469238,0.0,10.0,5.0,5.0,1.768372893333435,5.0352902,1.492600917816162,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,126,0.05004313842031607,0.04538227303419262,0.05052767903544009
deepsets_mlp_max,1,10,251,10,0,10,mean,False,10000,1000,1000,5.0058475,1.483919620513916,0.0,10.0,5.0,5.0,1.7536474466323853,4.9512653,1.4825482368469238,0.0,10.0,5.0,5.0,1.768372893333435,5.0352902,1.492600917816162,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,36,0.18349956573954054,0.17828636150807142,0.18561562709510326
deepsets_mlp_fspool,1,10,361,10,0,10,mean,False,10000,1000,1000,5.0058475,1.483919620513916,0.0,10.0,5.0,5.0,1.7536474466323853,4.9512653,1.4825482368469238,0.0,10.0,5.0,5.0,1.768372893333435,5.0352902,1.492600917816162,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,123,0.1701251097782782,0.18681043083779514,0.17421712586656213
mlp,1,10,121,10,0,10,mean,False,10000,1000,1000,5.0058475,1.483919620513916,0.0,10.0,5.0,5.0,1.7536474466323853,4.9512653,1.4825482368469238,0.0,10.0,5.0,5.0,1.768372893333435,5.0352902,1.492600917816162,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,219,0.246582112921651,0.2583393445238471,0.26774572115391493
sorted_mlp,1,10,121,10,0,10,mean,False,10000,1000,1000,5.0058475,1.483919620513916,0.0,10.0,5.0,5.0,1.7536474466323853,4.9512653,1.4825482368469238,0.0,10.0,5.0,5.0,1.768372893333435,5.0352902,1.492600917816162,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,54,0.609945163225672,0.6487651206552982,0.6322087850421667
pna,1,10,141,10,0,10,mean,False,10000,1000,1000,5.0058475,1.483919620513916,0.0,10.0,5.0,5.0,1.7536474466323853,4.9512653,1.4825482368469238,0.0,10.0,5.0,5.0,1.768372893333435,5.0352902,1.492600917816162,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,69,0.00014298125676707674,7.259872950271529e-05,7.592354495500331e-05
small_set_transformer,1,10,37953,10,0,10,mean,False,10000,1000,1000,5.0058475,1.483919620513916,0.0,10.0,5.0,5.0,1.7536474466323853,4.9512653,1.4825482368469238,0.0,10.0,5.0,5.0,1.768372893333435,5.0352902,1.492600917816162,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,46,0.394161633625152,0.4034305661916733,0.38325214944779873
deepsets_mlp_sum,1,10,251,10,0,10,mean,True,10000,1000,1000,5.0004163,1.7154375314712524,0.0,10.0,5.0,5.0,1.7441093921661377,5.015339,1.775356650352478,0.0,10.0,5.0,4.0,1.7379363775253296,5.0161953,1.7514234781265259,0.0,10.0,5.0,4.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,73,0.053868742137672794,0.05014802678488195,0.05138315027579665
deepsets_mlp_max,1,10,251,10,0,10,mean,True,10000,1000,1000,5.0004163,1.7154375314712524,0.0,10.0,5.0,5.0,1.7441093921661377,5.015339,1.775356650352478,0.0,10.0,5.0,4.0,1.7379363775253296,5.0161953,1.7514234781265259,0.0,10.0,5.0,4.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,47,0.445381049707437,0.4485477963462472,0.4177915081381798
