model,n_params,train_n_samples,train_max_set_size,train_min_value,train_max_value,train_label,train_multisets,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_n_samples,valid_max_set_size,valid_min_value,valid_max_value,valid_label,valid_multisets,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_n_samples,test_max_set_size,test_min_value,test_max_value,test_label,test_multisets,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,lr,weight_decay,batch_size,loss,max_epochs,patience,min_delta,random_seed,epochs,avg_train_loss,best_valid_loss,avg_test_lossdeepsets_mlp_sum,251,10000,10,0,10,sum,True,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.753647407925093,1000,10,0,10,sum,True,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.7683728929609726,1000,10,0,10,sum,True,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461246794727823,0.001,0.005,64,mse,200,5,1e-09,99,9,0.008516043288698621,0.002585076109971851,0.0024523386906366794
deepsets_mlp_sum,251,10000,10,0,10,sum,True,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.753647407925093,1000,10,0,10,sum,True,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.7683728929609726,1000,10,0,10,sum,True,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461246794727823,0.001,0.005,64,mse,200,5,1e-09,99,9,0.008516043288698621,0.002585076109971851,0.0024523386906366794deepsets_mlp_sum,361,10000,10,0,10,mode,True,3.6492,3.0719276293558737,0.0,10.0,3.0,0.0,1.753647407925093,1000,10,0,10,mode,True,3.631,2.9974721016216312,0.0,10.0,3.0,0.0,1.7683728929609726,1000,10,0,10,mode,True,3.697,3.106636605720083,0.0,10.0,3.0,0.0,1.7461246794727823,0.001,0.005,64,ce,200,5,1e-09,99,43,1.4445890015290108,1.418523982167244,1.4302734196186067
deepsets_mlp_sum,262,10000,10,0,10,contains_even,True,0.9196,0.2719114561764546,0.0,1.0,1.0,1.0,1.753647407925093,1000,10,0,10,contains_even,True,0.928,0.2584879107424562,0.0,1.0,1.0,1.0,1.7683728929609726,1000,10,0,10,contains_even,True,0.912,0.28329489935401236,0.0,1.0,1.0,1.0,1.7461246794727823,0.001,0.005,64,ce,200,5,1e-09,99,15,0.18458435519520813,0.18129105228581466,0.19467401958245317
pna,152,10000,10,0,10,contains_even,True,0.9196,0.2719114561764546,0.0,1.0,1.0,1.0,1.753647407925093,1000,10,0,10,contains_even,True,0.928,0.2584879107424562,0.0,1.0,1.0,1.0,1.7683728929609726,1000,10,0,10,contains_even,True,0.912,0.28329489935401236,0.0,1.0,1.0,1.0,1.7461246794727823,0.001,0.005,64,ce,200,5,1e-09,99,16,0.19116983248673977,0.1838533072732389,0.20192742974031716
small_set_transformer,38018,10000,10,0,10,contains_even,True,0.9196,0.2719114561764546,0.0,1.0,1.0,1.0,1.753647407925093,1000,10,0,10,contains_even,True,0.928,0.2584879107424562,0.0,1.0,1.0,1.0,1.7683728929609726,1000,10,0,10,contains_even,True,0.912,0.28329489935401236,0.0,1.0,1.0,1.0,1.7461246794727823,0.001,0.005,64,ce,200,5,1e-09,99,5,0.2055932211568924,0.21122837448492646,0.21397169400006533
small_set_transformer,37953,10000,10,0,10,sum,True,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.753647407925093,1000,10,0,10,sum,True,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.7683728929609726,1000,10,0,10,sum,True,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461246794727823,0.001,0.005,64,mse,200,5,1e-09,99,11,91.45170138157721,77.57564631700515,81.08055095672607
pna,141,10000,10,0,10,sum,True,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.753647407925093,1000,10,0,10,sum,True,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.7683728929609726,1000,10,0,10,sum,True,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461246794727823,0.001,0.005,64,mse,200,5,1e-09,99,73,0.7689216558772634,0.691022303700447,0.7201281286776066
deepsets_mlp_fspool,361,10000,10,0,10,sum,True,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.753647407925093,1000,10,0,10,sum,True,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.7683728929609726,1000,10,0,10,sum,True,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461246794727823,0.001,0.005,64,mse,200,5,1e-09,99,21,0.07098735783954818,0.003166184357542079,0.0030640894547104836
deepsets_mlp_fspool,372,10000,10,0,10,contains_even,True,0.9196,0.2719114561764546,0.0,1.0,1.0,1.0,1.753647407925093,1000,10,0,10,contains_even,True,0.928,0.2584879107424562,0.0,1.0,1.0,1.0,1.7683728929609726,1000,10,0,10,contains_even,True,0.912,0.28329489935401236,0.0,1.0,1.0,1.0,1.7461246794727823,0.001,0.005,64,ce,200,5,1e-09,99,11,0.18668831058599653,0.19066212655743583,0.19703648227732629
small_set_transformer,37953,10000,10,0,10,sum,True,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.753647407925093,1000,10,0,10,sum,True,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.7683728929609726,1000,10,0,10,sum,True,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461246794727823,0.001,0.005,64,mse,200,5,1e-09,99,11,91.45170138157721,77.57564631700515,81.08055095672607
small_set_transformer,37953,10000,10,0,10,sum,True,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.753647407925093,1000,10,0,10,sum,True,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.7683728929609726,1000,10,0,10,sum,True,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461246794727823,0.001,0.005,64,mse,200,5,1e-09,99,11,0.4878141929935894,0.05549541004002094,0.05975365312770009
deepsets_mlp_sum,251,10000,10,0,10,largest_pair_sum,True,14.3682,4.928511619567871,0.0,20.0,16.0,18.0,1.753647407925093,1000,10,0,10,largest_pair_sum,True,14.602,4.829036712646484,0.0,20.0,16.0,18.0,1.7683728929609726,1000,10,0,10,largest_pair_sum,True,14.353,4.954834938049316,0.0,20.0,16.0,19.0,1.7461246794727823,0.001,0.005,64,mse,200,5,1e-09,99,10,33.03917444861253,21.260965704917908,22.18880150318146
