type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
mlp,1,8,4253,32,-100,100,largest_pair_sum,True,10000,1000,1000,145.1812,61.89462661743164,-190.0,200.0,168.0,184.0,2.649203062057495,143.293,61.00706100463867,-118.0,200.0,167.0,187.0,2.618053913116455,141.48,64.72430419921875,-139.0,200.0,166.0,191.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,82,172.57684865574927,346.2694664001465,384.3116149902344,14.421744346618652,11.186073303222656,139.68218994140625,0.16165496408939362,0.908262110904115,384.95430755615234
mlp,1,8,5853,64,-100,100,largest_pair_sum,True,10000,1000,1000,166.7116,49.55256652832031,-192.0,200.0,184.0,195.0,3.2619073390960693,165.29,49.85739517211914,-146.0,200.0,184.0,191.0,3.2282028198242188,165.159,51.462100982666016,-154.0,200.0,184.0,196.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,51,212.8005008090074,432.8091287612915,387.2381286621094,15.462186813354492,12.778274536132812,70.13350677490234,0.159621924161911,0.8537812432413641,387.14080810546875
mlp,1,8,9053,128,-100,100,largest_pair_sum,True,10000,1000,1000,180.2287,38.25194549560547,-170.0,200.0,192.0,198.0,3.906660556793213,180.133,33.93206787109375,-121.0,200.0,192.0,196.0,3.873002052307129,178.317,40.504966735839844,-175.0,200.0,192.0,198.0,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,46,189.00789754102183,488.8619956970215,562.9285278320312,17.976699829101562,14.758468627929688,232.77755737304688,0.13920007646083832,0.6568874135861742,558.056079864502
mlp,1,8,15453,256,-100,100,largest_pair_sum,True,10000,1000,1000,189.1836,27.7951602935791,-150.0,200.0,197.0,200.0,4.571545124053955,188.198,29.170204162597656,-96.0,200.0,196.0,199.0,4.538384914398193,187.402,30.245073318481445,-168.0,200.0,197.0,198.0,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,31,221.92201495322453,567.4472694396973,630.202880859375,18.848217010498047,15.184837341308594,259.80303955078125,0.13720335066318512,0.3110762746142256,625.5501918792725
mlp,1,8,28253,512,-100,100,largest_pair_sum,True,10000,1000,1000,194.0938,20.87116241455078,-185.0,200.0,199.0,200.0,5.248648166656494,194.299,17.194637298583984,-36.0,200.0,199.0,200.0,5.216047763824463,193.01,21.69589614868164,-90.0,200.0,199.0,200.0,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,33,127.77172960900957,539.9580230712891,653.9935302734375,20.293155670166016,17.698020935058594,122.42227935791016,0.1188165470957756,-0.3893711015663641,649.9008560180664
mlp,1,8,53853,1024,-100,100,largest_pair_sum,True,10000,1000,1000,197.0462,13.195646286010742,-78.0,200.0,200.0,200.0,5.932857990264893,197.315,12.262781143188477,-54.0,200.0,200.0,200.0,5.900405406951904,196.981,10.529891967773438,53.0,200.0,200.0,200.0,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,75,117.44288839352359,577.2651557922363,579.9005126953125,19.147777557373047,15.733444213867188,95.99246215820312,0.09763862192630768,-4.230047470900197,577.6156673431396
mlp,1,8,3053,8,-100,100,largest_triple_sum,True,10000,1000,1000,74.7881,103.06764221191406,-265.0,295.0,80.0,99.0,1.5935304164886475,71.023,104.79594421386719,-231.0,281.0,78.0,-8.0,1.5713962316513062,71.569,106.84083557128906,-251.0,295.0,73.0,94.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,135,72.15036665558056,86.86607420444489,98.0228271484375,5.515756607055664,3.0326995849609375,92.81436157226562,39405049872384.0,0.9914127784551258,97.33160448074341
mlp,1,8,3453,16,-100,100,largest_triple_sum,True,10000,1000,1000,141.3886,106.35830688476562,-254.0,299.0,169.0,224.0,2.086803913116455,137.083,108.2621078491211,-219.0,291.0,168.0,203.0,2.0597832202911377,139.206,106.37792205810547,-257.0,298.0,166.5,225.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,79,214.05797596342245,343.44124031066895,347.3956298828125,13.058072090148926,9.251411437988281,97.12503051757812,34026261839872.0,0.9693012027442174,345.66118144989014
mlp,1,8,4253,32,-100,100,largest_triple_sum,True,10000,1000,1000,196.2135,96.94635009765625,-250.0,300.0,233.0,258.0,2.649203062057495,192.728,98.62287902832031,-202.0,297.0,230.0,265.0,2.618053913116455,191.79,99.5708236694336,-215.0,299.0,230.0,236.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,87,299.5890239545494,543.6012649536133,627.7731323242188,18.772611618041992,14.503814697265625,150.9160919189453,0.18592767417430878,0.9366803515071048,626.4179134368896
mlp,1,8,5853,64,-100,100,largest_triple_sum,True,10000,1000,1000,236.4226,79.77425384521484,-250.0,300.0,266.0,282.0,3.2619073390960693,233.256,81.268310546875,-202.0,300.0,266.0,282.0,3.2282028198242188,233.926,83.3924331665039,-154.0,300.0,266.0,289.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,73,331.1200335071345,796.3669357299805,807.3411865234375,21.999202728271484,18.182815551757812,119.31578063964844,0.12981151044368744,0.8839076027748741,818.875415802002
