type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
mlp,1,5,15453,256,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,278.6846008300781,46.9648323059082,-199.0,300.0,292.0,298.0,5.768626813949488,4.571545124053955,277.24798583984375,48.59014892578125,-185.0,300.0,292.0,298.0,6.235971910698546,4.538384914398193,274.7040100097656,55.29174041748047,-268.0,300.0,293.0,297.0,6.327573510146215,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,42,316.1075015219913,1164.9836387634277,1392.752197265625,28.118648529052734,22.479461669921875,362.4752197265625,0.16314402222633362,0.5444318259854453,0.12413956969976425,1.2289353609085083,1386.5739669799805
sorted_mlp,1,5,15453,256,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,278.6846008300781,46.9648323059082,-199.0,300.0,292.0,298.0,5.768626813949488,4.571545124053955,277.24798583984375,48.59014892578125,-185.0,300.0,292.0,298.0,6.235971910698546,4.538384914398193,274.7040100097656,55.29174041748047,-268.0,300.0,293.0,297.0,6.327573510146215,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,55,18.909008442026796,17.948794215917587,47.07120132446289,1.7045903205871582,0.7397308349609375,138.75759887695312,0.029271487146615982,0.9846030459408819,0.021272849291563034,0.0744997188448906,47.066030610352755
mlp,1,5,28253,512,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,288.205810546875,35.64956283569336,-225.0,300.0,297.0,300.0,4.6641842327760505,5.248648166656494,288.46600341796875,30.483583450317383,-42.0,300.0,296.0,300.0,4.989641064199341,5.216047763824463,285.9750061035156,38.26173400878906,-181.0,300.0,297.0,300.0,5.155392287226473,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,33,196.10163813791456,1202.0187377929688,1482.80322265625,29.8835506439209,24.717819213867188,217.51300048828125,0.18111449480056763,-0.012871126223549023,0.11594215035438538,2.0927176475524902,1479.731834411621
sorted_mlp,1,5,28253,512,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,288.205810546875,35.64956283569336,-225.0,300.0,297.0,300.0,4.6641842327760505,5.248648166656494,288.46600341796875,30.483583450317383,-42.0,300.0,296.0,300.0,4.989641064199341,5.216047763824463,285.9750061035156,38.26173400878906,-181.0,300.0,297.0,300.0,5.155392287226473,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,300,12.86501845928609,4.311556898988783,8.473448753356934,0.5438984632492065,0.1974639892578125,44.88108825683594,0.014030511491000652,0.9942119686606268,0.006427598185837269,0.03808870539069176,9.119657687842846
mlp,1,5,53853,1024,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,293.9634094238281,23.55171775817871,-129.0,300.0,299.0,300.0,3.434184431010854,5.932857990264893,294.260009765625,23.14192008972168,-135.0,300.0,299.0,300.0,3.580101841032747,5.900405406951904,293.65899658203125,20.152685165405273,28.0,300.0,299.0,300.0,3.7392928792879436,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,59,71.79280954713275,1332.7082633972168,1252.7708740234375,28.073793411254883,24.015975952148438,164.18447875976562,0.09809545427560806,-2.084649220546595,0.09789121150970459,3.407197952270508,1245.4224662780762
sorted_mlp,1,5,53853,1024,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,293.9634094238281,23.55171775817871,-129.0,300.0,299.0,300.0,3.434184431010854,5.932857990264893,294.260009765625,23.14192008972168,-135.0,300.0,299.0,300.0,3.580101841032747,5.900405406951904,293.65899658203125,20.152685165405273,28.0,300.0,299.0,300.0,3.7392928792879436,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,90,3.8177865910681947,8.256507433950901,1.5342705249786377,0.9101886749267578,0.7386627197265625,9.301719665527344,0.0035346990916877985,0.9962222248851526,0.0035725340712815523,0.11046575754880905,1.5787008367478848
mlp,1,5,3053,8,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,75.78849792480469,104.1695785522461,-277.0,294.0,81.0,161.0,9.067711608358888,1.6007636785507202,74.23300170898438,102.65343475341797,-230.0,284.0,81.0,0.0,10.967428057175798,1.6070263385772705,76.41200256347656,104.22566986083984,-235.0,288.0,82.5,38.0,11.027034212012023,1.6034399271011353,500,15,1e-09,0.001,64,99,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,236,46.96551421341623,78.28589236736298,82.35365295410156,5.4944233894348145,2.9146728515625,93.5842514038086,15846226264064.0,0.9924188783219053,0.11033288389444351,0.06345240026712418,83.31937968730927
sorted_mlp,1,5,3053,8,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,75.78849792480469,104.1695785522461,-277.0,294.0,81.0,161.0,9.067711608358888,1.6007636785507202,74.23300170898438,102.65343475341797,-230.0,284.0,81.0,0.0,10.967428057175798,1.6070263385772705,76.41200256347656,104.22566986083984,-235.0,288.0,82.5,38.0,11.027034212012023,1.6034399271011353,500,15,1e-09,0.001,64,99,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,164,35.202788035581065,57.8770652115345,47.80305099487305,2.6547389030456543,0.7351360321044922,93.76390075683594,8697023037440.0,0.9955994575262704,0.07477503269910812,0.030658278614282608,47.55280381441116
mlp,1,5,3453,16,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,142.1923065185547,106.3336410522461,-232.0,299.0,170.0,233.0,8.88971245748785,2.096096992492676,147.60699462890625,102.338623046875,-217.0,295.0,178.0,218.0,10.511621724249252,2.1014459133148193,145.05099487304688,106.31729125976562,-249.0,293.0,173.0,240.0,10.615957432458003,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,85,176.475033170858,305.16139125823975,277.02630615234375,12.023662567138672,8.469772338867188,67.16764831542969,2741327364096.0,0.9754916964702551,0.11643797159194946,0.13718146085739136,273.82726192474365
sorted_mlp,1,5,3453,16,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,142.1923065185547,106.3336410522461,-232.0,299.0,170.0,233.0,8.88971245748785,2.096096992492676,147.60699462890625,102.338623046875,-217.0,295.0,178.0,218.0,10.511621724249252,2.1014459133148193,145.05099487304688,106.31729125976562,-249.0,293.0,173.0,240.0,10.615957432458003,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,81,63.670838167712944,45.397767663002014,60.785987854003906,2.8610312938690186,0.5481033325195312,99.02296447753906,35922124996608.0,0.9946223108500949,0.07827920466661453,0.03264233469963074,62.234551787376404
