type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
mlp,1,8,15453,256,-100,100,largest_contiguous_sum,True,10000,1000,1000,3198.0713,1891.75927734375,-87.0,7995.0,3142.5,2234.0,4.571545124053955,3127.96,1907.17626953125,-86.0,7253.0,3032.0,941.0,4.538384914398193,3156.732,1922.9608154296875,-72.0,7599.0,3146.0,1475.0,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,32,7683.789309750697,191738.5791015625,189183.359375,295.31719970703125,180.015869140625,2349.50146484375,0.1350475400686264,0.9488386408208916,187396.38330078125
mlp,1,8,28253,512,-100,100,largest_contiguous_sum,True,10000,1000,1000,6383.915,3739.21044921875,-92.0,15341.0,6350.0,3012.0,5.248648166656494,6240.139,3791.849365234375,-3.0,13845.0,6077.0,6486.0,5.216047763824463,6306.673,3811.550048828125,-22.0,14526.0,6253.0,349.0,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,23,50714.88184215764,1428778.06640625,1332915.625,754.651611328125,423.915283203125,4938.77685546875,0.30792441964149475,0.9082514125231732,1324749.9453125
mlp,1,8,53853,1024,-100,100,largest_contiguous_sum,True,10000,1000,1000,12759.458,7453.21630859375,-78.0,27830.0,12706.5,2069.0,5.932857990264893,12541.338,7602.900390625,9.0,27793.0,12115.5,1353.0,5.900405406951904,12593.548,7547.2060546875,53.0,26962.0,12816.5,344.0,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,33,382150.1420183121,10998841.46875,11109753.0,2171.201904296875,1066.322509765625,14773.0,0.1752927303314209,0.8049562621538005,10955930.03125
mlp,1,8,3053,8,-100,100,max,True,10000,1000,1000,54.6614,43.348487854003906,-100.0,100.0,68.0,99.0,1.5935304164886475,51.537,46.364261627197266,-98.0,100.0,68.0,99.0,1.5713962316513062,52.274,45.34043502807617,-100.0,100.0,66.5,95.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,127,17.97372142372617,15.960362702608109,19.76392936706543,2.4047701358795166,1.3184394836425781,61.83857727050781,32275876020224.0,0.9903860477748377,19.50768980383873
mlp,1,8,3453,16,-100,100,max,True,10000,1000,1000,69.6944,35.70718765258789,-100.0,100.0,82.0,99.0,2.086803913116455,67.851,38.106807708740234,-100.0,100.0,81.0,100.0,2.0597832202911377,69.595,36.1907844543457,-98.0,100.0,83.0,100.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,156,28.809674566718424,55.9385062456131,60.09084701538086,5.105321407318115,3.1999073028564453,53.16349411010742,107267856793600.0,0.9541211740757741,60.55884552001953
mlp,1,8,4253,32,-100,100,max,True,10000,1000,1000,80.7492,29.105627059936523,-100.0,100.0,91.0,100.0,2.649203062057495,80.328,27.696107864379883,-99.0,100.0,91.0,100.0,2.618053913116455,78.943,31.726041793823242,-94.0,100.0,90.0,100.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,87,53.43209396653874,101.31669330596924,132.36119079589844,7.942330360412598,5.894229888916016,122.31416320800781,0.13264480233192444,0.8684990543368469,131.3107295036316
mlp,1,8,5853,64,-100,100,max,True,10000,1000,1000,88.3731,22.601139068603516,-100.0,100.0,96.0,100.0,3.2619073390960693,88.047,22.86890411376953,-94.0,100.0,96.0,100.0,3.2282028198242188,87.666,23.426834106445312,-90.0,100.0,95.0,100.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,60,61.2087284379704,140.90844058990479,139.36952209472656,9.162213325500488,7.525356292724609,52.41443634033203,0.13673122227191925,0.7460544235949325,139.29987478256226
mlp,1,8,9053,128,-100,100,max,True,10000,1000,1000,93.1335,17.282691955566406,-99.0,100.0,98.0,100.0,3.906660556793213,93.3,14.361058235168457,-64.0,100.0,98.0,100.0,3.873002052307129,93.179,15.935023307800293,-86.0,100.0,98.0,100.0,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,36,58.23299134612843,153.13378715515137,174.30027770996094,10.23132610321045,8.212272644042969,59.606719970703125,0.13076235353946686,0.3135756178806043,173.07883262634277
mlp,1,8,15453,256,-100,100,max,True,10000,1000,1000,96.4442,11.63577651977539,-87.0,100.0,99.0,100.0,4.571545124053955,95.973,12.757596969604492,-86.0,100.0,99.0,100.0,4.538384914398193,95.921,12.021512985229492,-72.0,100.0,99.0,100.0,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,31,62.4420816457955,167.51016235351562,183.63699340820312,9.901043891906738,7.594810485839844,132.8285675048828,0.10751522332429886,-0.2706970342320689,182.94615602493286
mlp,1,8,28253,512,-100,100,max,True,10000,1000,1000,98.0858,8.493494033813477,-92.0,100.0,100.0,100.0,5.248648166656494,98.205,6.153451442718506,-3.0,100.0,100.0,100.0,5.216047763824463,97.719,8.79886531829834,-22.0,100.0,100.0,100.0,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,38,33.851426318952235,140.39621829986572,164.4134063720703,10.007372856140137,8.1219482421875,45.65352249145508,0.1156223714351654,-1.1236544399157955,165.3218593597412
mlp,1,8,53853,1024,-100,100,max,True,10000,1000,1000,99.0804,5.100072383880615,-78.0,100.0,100.0,100.0,5.932857990264893,99.183,4.56941032409668,9.0,100.0,100.0,100.0,5.900405406951904,99.023,4.137930870056152,35.0,100.0,100.0,100.0,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,53,37.20784278432275,159.14177942276,150.7782440185547,9.802535057067871,8.867481231689453,59.83592224121094,0.09911029040813446,-7.805869831578287,150.04000902175903
