type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
deepsets_mlp_fspool,1,5,7097,16,-100,100,longest_seq_length,True,10000,1000,1000,True,True,1.4474999904632568,0.5882548689842224,1.0,5.0,1.0,1.0,1.185293273118314,2.0936684608459473,1.468999981880188,0.5924854278564453,1.0,4.0,1.0,1.0,1.2134461562375969,2.084343671798706,1.437000036239624,0.5865415930747986,1.0,4.0,1.0,1.0,1.1874737201569805,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,46,0.20867187567767065,0.1925262538716197,0.20973406732082367,0.32546141743659973,0.23012125492095947,2.304020881652832,0.23412734270095825,0.3903628899963283,0.21260949969291687,0.6084056496620178,0.2088643042370677
sorted_mlp,1,5,3453,16,-100,100,longest_seq_length,True,10000,1000,1000,True,True,1.4474999904632568,0.5882548689842224,1.0,5.0,1.0,1.0,1.185293273118314,2.0936684608459473,1.468999981880188,0.5924854278564453,1.0,4.0,1.0,1.0,1.2134461562375969,2.084343671798706,1.437000036239624,0.5865415930747986,1.0,4.0,1.0,1.0,1.1874737201569805,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,50,0.19298443872078208,0.20895455032587051,0.21327902376651764,0.3394835889339447,0.24619042873382568,2.076016664505005,0.24591003358364105,0.38005870257551855,0.2231162041425705,0.6346181631088257,0.21218561008572578
mlp,1,5,3453,16,-100,100,longest_seq_length,True,10000,1000,1000,True,True,1.4474999904632568,0.5882548689842224,1.0,5.0,1.0,1.0,1.185293273118314,2.0936684608459473,1.468999981880188,0.5924854278564453,1.0,4.0,1.0,1.0,1.2134461562375969,2.084343671798706,1.437000036239624,0.5865415930747986,1.0,4.0,1.0,1.0,1.1874737201569805,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,33,0.18833773004211438,0.2488245740532875,0.2775074243545532,0.3836750090122223,0.3085665702819824,2.824345350265503,0.2701147496700287,0.19336512067468503,0.2499118447303772,0.7172279953956604,0.2740457830950618
pna,1,5,3253,16,-100,100,longest_seq_length,True,10000,1000,1000,True,True,1.4474999904632568,0.5882548689842224,1.0,5.0,1.0,1.0,1.185293273118314,2.0936684608459473,1.468999981880188,0.5924854278564453,1.0,4.0,1.0,1.0,1.2134461562375969,2.084343671798706,1.437000036239624,0.5865415930747986,1.0,4.0,1.0,1.0,1.1874737201569805,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,61,0.22142202193569985,0.20809837011620402,0.21615372598171234,0.3313462436199188,0.21763867139816284,2.4432032108306885,0.24460726976394653,0.3717027190919111,0.21909640729427338,0.619406521320343,0.21504232194274664
small_set_transformer,1,5,37953,16,-100,100,longest_seq_length,True,10000,1000,1000,True,True,1.4474999904632568,0.5882548689842224,1.0,5.0,1.0,1.0,1.185293273118314,2.0936684608459473,1.468999981880188,0.5924854278564453,1.0,4.0,1.0,1.0,1.2134461562375969,2.084343671798706,1.437000036239624,0.5865415930747986,1.0,4.0,1.0,1.0,1.1874737201569805,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,207,0.1702333882830705,0.17732042516581714,0.18646155297756195,0.2906094491481781,0.17306643724441528,2.154407024383545,0.20551647245883942,0.45800944628453055,0.18809674680233002,0.543254554271698,0.18453220557421446
mean_baseline,1,5,0,16,-100,100,longest_seq_length,True,10000,1000,1000,True,True,1.4474999904632568,0.5882548689842224,1.0,5.0,1.0,1.0,1.185293273118314,2.0936684608459473,1.468999981880188,0.5924854278564453,1.0,4.0,1.0,1.0,1.2134461562375969,2.084343671798706,1.437000036239624,0.5865415930747986,1.0,4.0,1.0,1.0,1.1874737201569805,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,1,0.34604375,0.35150125000000004,0.34414125,0.5354500000000001,0.4475,2.5525,0.39180999999999994,-0.0003204653069057706,0.3655389722410835,1.000950571230686,0.34414125
deepsets_mlp_sum,1,5,6921,16,-100,100,sum,True,10000,1000,1000,True,True,-2.629300117492676,169.00682067871094,-681.0,757.0,-2.5,-25.0,10.220901190451716,2.0874500274658203,-4.23199987411499,173.78578186035156,-558.0,668.0,-3.0,-65.0,12.635073308517406,2.113555908203125,0.5770000219345093,179.67576599121094,-595.0,684.0,-4.0,-38.0,12.644604032194142,2.126591205596924,500,15,1e-09,0.001,64,99999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,17,0.8285541091422746,0.26497239898890257,0.25844135880470276,0.3843982517719269,0.3006439208984375,1.9178237915039062,573649780736.0,0.9999919946011454,0.014759275130927563,0.0029838262125849724,0.2599655520170927
deepsets_mlp_fspool,1,5,7097,16,-100,100,sum,True,10000,1000,1000,True,True,-2.629300117492676,169.00682067871094,-681.0,757.0,-2.5,-25.0,10.220901190451716,2.0874500274658203,-4.23199987411499,173.78578186035156,-558.0,668.0,-3.0,-65.0,12.635073308517406,2.113555908203125,0.5770000219345093,179.67576599121094,-595.0,684.0,-4.0,-38.0,12.644604032194142,2.126591205596924,500,15,1e-09,0.001,64,99999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,45,0.9113693038938911,0.38249562308192253,0.38274794816970825,0.4358420968055725,0.32018280029296875,4.6610107421875,358353862656.0,0.9999881441185723,0.013159779831767082,0.003383150091394782,0.3791206646710634
sorted_mlp,1,5,3453,16,-100,100,sum,True,10000,1000,1000,True,True,-2.629300117492676,169.00682067871094,-681.0,757.0,-2.5,-25.0,10.220901190451716,2.0874500274658203,-4.23199987411499,173.78578186035156,-558.0,668.0,-3.0,-65.0,12.635073308517406,2.113555908203125,0.5770000219345093,179.67576599121094,-595.0,684.0,-4.0,-38.0,12.644604032194142,2.126591205596924,500,15,1e-09,0.001,64,99999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,257,0.04380403228910865,0.06603092246223241,0.0599408857524395,0.15727311372756958,0.09637069702148438,1.9373779296875,815034007552.0,0.9999981432898971,0.006377038080245256,0.0012208058033138514,0.059386690612882376
mlp,1,5,3453,16,-100,100,sum,True,10000,1000,1000,True,True,-2.629300117492676,169.00682067871094,-681.0,757.0,-2.5,-25.0,10.220901190451716,2.0874500274658203,-4.23199987411499,173.78578186035156,-558.0,668.0,-3.0,-65.0,12.635073308517406,2.113555908203125,0.5770000219345093,179.67576599121094,-595.0,684.0,-4.0,-38.0,12.644604032194142,2.126591205596924,500,15,1e-09,0.001,64,99999,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,168,0.014220564578701356,0.03082763246493414,0.029766028746962547,0.10194019973278046,0.0506744384765625,1.2615432739257812,512029491200.0,0.999999077976749,0.008732343092560768,0.0007912935107015073,0.029561303555965424
