label,type,max_set_size_mean,test_mae_mean,test_max_error_mean,test_r2_mean
cardinality,deepsets_mlp_sum,8,0.028013873565942,0.1376345634460449,0.9996520617581603
cardinality,deepsets_mlp_fspool,8,0.02743572816252702,0.787579345703125,0.9993779752494287
cardinality,sorted_mlp,8,0.27232551872730254,2.3803975105285646,0.9707669872162705
cardinality,small_set_transformer,8,0.1154218733310699,1.501964235305786,0.9921337144865812
cardinality,pna,8,0.10927608311176298,1.3217582702636719,0.9943146854125825
largest_contiguous_sum,deepsets_mlp_sum,8,1.5168972492218018,21.744219970703124,0.9991462763963261
largest_contiguous_sum,deepsets_mlp_fspool,8,0.5885207831859589,53.389936447143555,0.9994387264795129
largest_contiguous_sum,sorted_mlp,8,1.1877917170524597,60.581729888916016,0.9985552872589573
largest_contiguous_sum,small_set_transformer,8,0.7997522830963135,53.139545345306395,0.9994112214523192
largest_contiguous_sum,pna,8,3.0080276489257813,23.44725646972656,0.9978319212868996
largest_pair_sum,deepsets_mlp_sum,8,5.268776893615723,31.845071411132814,0.9917873134230047
largest_pair_sum,deepsets_mlp_fspool,8,0.9222403526306152,37.950347137451175,0.9993209038458601
largest_pair_sum,sorted_mlp,8,2.5900078296661375,69.29874420166016,0.9929707601769839
largest_pair_sum,small_set_transformer,8,2.389534592628479,70.22792167663575,0.996170010370094
largest_pair_sum,pna,8,3.8703662872314455,25.860365295410155,0.994732061148367
largest_triple_sum,deepsets_mlp_sum,8,5.113307285308838,41.1865234375,0.9948068629889744
largest_triple_sum,deepsets_mlp_fspool,8,1.084178054332733,17.898123931884765,0.9997442429223637
largest_triple_sum,sorted_mlp,8,4.3411736488342285,85.64166870117188,0.9923177221318108
largest_triple_sum,small_set_transformer,8,3.237470006942749,90.31119842529297,0.9966991295198321
largest_triple_sum,pna,8,3.8076454639434814,27.615194702148436,0.9967910106451834
longest_seq_length,deepsets_mlp_sum,8,0.2286721140146255,1.9285342693328857,0.13172697709723108
longest_seq_length,deepsets_mlp_fspool,8,0.21516547799110408,1.979660153388977,0.14868403675067227
longest_seq_length,sorted_mlp,8,0.1514362514019012,1.8529769659042359,0.41385957050023
longest_seq_length,small_set_transformer,8,0.21447989642620083,1.952502226829529,0.14385394779557054
longest_seq_length,pna,8,0.20771820247173306,1.9583227396011353,0.16498008944518286
max,deepsets_mlp_sum,8,3.78770227432251,22.957255554199218,0.9867419798986466
max,deepsets_mlp_fspool,8,0.3972894996404648,41.857187271118164,0.9977453563290316
max,sorted_mlp,8,0.7950961589813232,62.82391510009766,0.9931780663556496
max,small_set_transformer,8,0.4043635815382004,53.63056411743164,0.9973372388844179
max,pna,8,0.12661306411027906,1.2986763000488282,0.9999835548243283
sum,deepsets_mlp_sum,8,0.16812991648912426,0.9409210205078125,0.9999961669420114
sum,deepsets_mlp_fspool,8,0.35619922876358034,3.3044486045837402,0.9999786410713287
sum,sorted_mlp,8,0.24528186321258544,1.9798538208007812,0.9999917410925077
sum,small_set_transformer,8,0.3434149116277695,1.7235931396484374,0.9999855562817099
sum,pna,8,0.8621198534965515,11.22445068359375,0.9998969886821902
cardinality,deepsets_mlp_sum,16,0.0110202799842227,0.05255119800567622,0.9999644304059601
cardinality,deepsets_mlp_fspool,16,0.06027913838624947,0.8159596204757691,0.9994691872429353
cardinality,sorted_mlp,16,0.517761892080307,3.339338493347168,0.9762009262747504
cardinality,small_set_transformer,16,0.17756064534187313,2.1457061767578125,0.9961270407218759
cardinality,pna,16,0.1795767873525619,1.8424105644226074,0.9964292674114248
largest_contiguous_sum,deepsets_mlp_sum,16,1.9614752292633058,40.566185760498044,0.9985971324448226
largest_contiguous_sum,deepsets_mlp_fspool,16,0.8606184601783753,49.281838989257814,0.9996895939443441
largest_contiguous_sum,sorted_mlp,16,1.3764189720153808,55.27367401123047,0.9994884013108554
largest_contiguous_sum,small_set_transformer,16,1.012853491306305,23.08821029663086,0.9998149457716007
largest_contiguous_sum,pna,16,6.178007411956787,39.469338989257814,0.9968331189851736
largest_pair_sum,deepsets_mlp_sum,16,13.75114631652832,90.90295715332032,0.9221446467302924
largest_pair_sum,deepsets_mlp_fspool,16,3.858711051940918,31.490967559814454,0.9937460415983891
largest_pair_sum,sorted_mlp,16,1.8105964183807373,66.09609756469726,0.9948375596863137
largest_pair_sum,small_set_transformer,16,2.3069789886474608,53.07094802856445,0.9965615682820934
largest_pair_sum,pna,16,5.301990413665772,32.42067260742188,0.9899834408611664
largest_triple_sum,deepsets_mlp_sum,16,34.60622863769531,217.4442932128906,0.8297430082676275
largest_triple_sum,deepsets_mlp_fspool,16,4.702821254730225,48.774664306640624,0.9953405948099012
largest_triple_sum,sorted_mlp,16,3.55070481300354,92.78584594726563,0.9936051394953875
largest_triple_sum,small_set_transformer,16,4.807433938980102,62.40753326416016,0.9952321867000012
largest_triple_sum,pna,16,7.251812934875488,48.306121826171875,0.9913277372530225
longest_seq_length,deepsets_mlp_sum,16,0.3502812325954437,2.8926931381225587,0.34877407388273707
longest_seq_length,deepsets_mlp_fspool,16,0.34000024795532224,2.7819254398345947,0.3589595975422962
longest_seq_length,sorted_mlp,16,0.3307469427585602,2.7890217304229736,0.38072558109162963
longest_seq_length,small_set_transformer,16,0.3466791272163391,2.901646375656128,0.3451693231302306
longest_seq_length,pna,16,0.3363231778144836,2.869449186325073,0.36294711534369073
max,deepsets_mlp_sum,16,4.215809726715088,31.695018768310547,0.9766891916540519
max,deepsets_mlp_fspool,16,1.7873056411743165,36.56495056152344,0.992352150965915
