type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_precision,test_recall,avg_test_loss
deepsets_mlp_fspool,1,8,8940,32,-100,100,contains_even,True,10000,1000,1000,0.4942,0.49996635886827423,0,1,0.0,0,0.9998143848508712,2.654923439025879,0.446,0.49707544698969,0,1,0.0,0,0.9906983882756732,2.618743419647217,0.48,0.49959983987187184,0,1,0.0,0,0.9979595679909182,2.647390604019165,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,19,0.691142755985001,0.6846703141927719,0.527,0.5118589743589743,0.44641832352322014,0.5277864590678739,0.527,0.6912417523562908
deepsets_mlp_fspool,1,8,12524,64,-100,100,contains_even,True,10000,1000,1000,0.5027,0.4999927099468552,0,1,1.0,1,0.9998904017500386,3.267610788345337,0.455,0.49797088268291345,0,1,0.0,0,0.9932726078300496,3.2280807495117188,0.484,0.499743934430424,0,1,0.0,0,0.9983744155974623,3.2601640224456787,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,17,0.6928463709674829,0.688157994300127,0.518,0.5029630341469664,0.37876217458929257,0.5251766323024055,0.518,0.690936055034399
deepsets_mlp_fspool,1,8,19692,128,-100,100,contains_even,True,10000,1000,1000,0.5067,0.49995510798470705,0,1,1.0,1,0.9997819290047163,3.9122512340545654,0.454,0.49787950349457055,0,1,0.0,0,0.9930098372997261,3.870725631713867,0.484,0.499743934430424,0,1,0.0,0,0.9983744155974623,3.903857946395874,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,21,0.6931671905575642,0.6893716417253017,0.516,0.5,0.35126121372031666,0.26625600000000005,0.516,0.692438218742609
deepsets_mlp_fspool,1,8,34028,256,-100,100,contains_even,True,10000,1000,1000,0.5073,0.49994670715987316,0,1,1.0,1,0.9997576949888691,4.576894760131836,0.459,0.498316164698678,0,1,0.0,0,0.9942656493832003,4.533544063568115,0.485,0.49977494935220584,0,1,0.0,0,0.9984637126806026,4.5673980712890625,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,17,0.6931535153696838,0.6900683306157589,0.516,0.501451306175558,0.36434666666666665,0.5242707275803723,0.516,0.6926554888486862
deepsets_mlp_fspool,1,8,62700,512,-100,100,contains_even,True,10000,1000,1000,0.5085,0.499927744779183,0,1,1.0,1,0.9997029943555708,5.253628253936768,0.46,0.49839743177508444,0,1,0.0,0,0.9944994096431793,5.209855556488037,0.487,0.49983097142934235,0,1,0.0,0,0.9986250142150694,5.243078708648682,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,15,0.6933256614656512,0.6912755072116852,0.5,0.49008729901413356,0.4141819490413891,0.47718406318259426,0.5,0.6957547664642334
deepsets_mlp_fspool,1,8,120044,1024,-100,100,contains_even,True,10000,1000,1000,0.5091,0.4999171831413679,0,1,1.0,1,0.9996725275805787,5.937697887420654,0.461,0.498476679494638,0,1,0.0,0,0.9947273736897438,5.8932366371154785,0.489,0.4998789853554558,0,1,0.0,0,0.9987632631201516,5.9266037940979,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,19,0.6932248674745127,0.6917111426591873,0.511,0.5,0.34562673726009263,0.261121,0.511,0.6928777880966663
deepsets_mlp_fspool,1,8,16401,8,-100,100,mode,True,10000,1000,1000,119.9952,42.616132825022966,0,200,122.0,102,7.141961307484107,1.6007636785507202,118.128,43.00369305071368,0,200,119.0,102,7.989194475325093,1.6070263385772705,118.188,43.10859144068616,0,200,120.0,104,8.019004451163159,1.6034399271011353,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,168,2.3661320873779546,2.8327631801366806,0.186,0.17368803592838045,0.1466750584195766,0.16477826188673714,0.186,2.8571296334266663
deepsets_mlp_fspool,1,8,17297,16,-100,100,mode,True,10000,1000,1000,115.4967,39.29116680769356,0,200,115.0,102,6.93801484477651,2.096096992492676,115.219,40.364254471004415,0,199,115.0,106,7.842121279309284,2.1014459133148193,117.636,38.33055574864523,0,200,116.0,103,7.905023151288646,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,28,3.7318162146448906,4.6634403467178345,0.023,0.024309481160971144,0.01920423359282903,0.042619160383954045,0.023,4.643668204545975
deepsets_mlp_fspool,1,8,19089,32,-100,100,mode,True,10000,1000,1000,112.8781,44.1583428175243,0,200,113.0,102,7.181580466204713,2.6601147651672363,112.407,45.350913452762995,0,200,113.0,102,7.9925861463547925,2.666325569152832,111.125,44.97587547786035,0,200,112.0,104,8.060737815085533,2.664741277694702,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,28,4.223520947606454,4.935754090547562,0.014,0.013883333856159943,0.011105721852966434,0.013483987733024243,0.014,4.982435554265976
deepsets_mlp_fspool,1,8,22673,64,-100,100,mode,True,10000,1000,1000,114.8212,46.537999855601875,0,200,116.5,101,7.30838162492396,3.274092674255371,110.446,47.15793765634795,0,200,115.0,103,8.238716741710544,3.2827086448669434,114.422,44.322589229421155,0,200,115.5,103,8.133012455455837,3.2797882556915283,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,19,4.618495192467644,5.0422483086586,0.006,0.002939792187104015,0.0017828525951021626,0.001161049107142857,0.006,5.003860920667648
deepsets_mlp_fspool,1,8,29841,128,-100,100,mode,True,10000,1000,1000,112.7385,48.8454493044132,0,200,116.0,102,7.408094859505291,3.919740676879883,113.671,48.71066370929471,0,200,115.0,101,8.348340331721387,3.9290590286254883,112.789,48.59346127824195,0,200,115.0,106,8.329985739260012,3.9267334938049316,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,22,4.834148888582316,5.141467809677124,0.007,0.003945035460992908,0.0016495194508009154,0.0009699347450399495,0.007,5.142758935689926
deepsets_mlp_fspool,1,8,44177,256,-100,100,mode,True,10000,1000,1000,112.5426,51.05134851539183,0,200,117.0,102,7.522458961142519,4.585209369659424,109.775,51.561345744656435,0,200,117.0,101,8.462723408976789,4.595020294189453,111.91,49.95517891069953,0,200,115.0,101,8.456443181242909,4.592075824737549,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,24,5.213303273360621,5.207259684801102,0.008,0.011115223291389094,0.0017455501217897857,0.001660157682259737,0.008,5.202436059713364
deepsets_mlp_fspool,1,8,72849,512,-100,100,mode,True,10000,1000,1000,111.0085,52.973863628680135,0,200,117.0,101,7.586884530514437,5.26270055770874,110.213,52.119762384339396,0,200,117.5,108,8.536601845340524,5.272765636444092,112.366,53.59861979566265,0,200,118.5,102,8.616079932433728,5.270244598388672,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,36,5.219590585804646,5.2547701597213745,0.003,0.002556902157848064,0.0014777191894127374,0.0019779651352231998,0.003,5.269179552793503
deepsets_mlp_fspool,1,8,130193,1024,-100,100,mode,True,10000,1000,1000,109.5875,54.62546973482242,0,200,116.0,104,7.652395678953686,5.946806907653809,106.983,53.58248511407436,0,200,114.0,108,8.65366103172152,5.957937240600586,107.365,54.21128826176334,0,200,115.0,125,8.621776709789302,5.954519748687744,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,39,5.307742862984592,5.300979852676392,0.002,0.001913265306122449,0.00011471343785986357,6.007233103189141e-05,0.002,5.3016049563884735
deepsets_mlp_fspool,1,8,6252,8,-100,100,contains_even,True,10000,1000,1000,0.4306,0.49516021649563086,0,1,0.0,0,0.9859721910594683,1.5940666198730469,0.44,0.4963869458396343,0,1,0.0,0,0.9887201314390118,1.599164605140686,0.438,0.49614110895994107,0,1,0.0,0,0.9880139972642197,1.5947586297988892,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,22,0.6808101064545428,0.6779040545225143,0.56,0.5553957652870538,0.5608490600385936,0.5620578560371517,0.56,0.674902006983757
deepsets_mlp_fspool,1,8,7148,16,-100,100,contains_even,True,10000,1000,1000,0.4637,0.49868056910210556,0,1,0.0,0,0.996106797740983,2.0868184566497803,0.463,0.49862912068991716,0,1,0.0,0,0.995165920436754,2.0923960208892822,0.476,0.49942366784124287,0,1,0.0,0,0.9974524241262026,2.0889389514923096,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,22,0.6868020336093635,0.6834784224629402,0.53,0.5228526525113862,0.5193740074495423,0.5258461538461539,0.53,0.6874058954417706
deepsets_mlp_fspool,1,8,8940,32,-100,100,contains_even,True,10000,1000,1000,0.4783,0.49952888805353385,0,1,0.0,0,0.9985525758920393,2.6498355865478516,0.48,0.49959983987187184,0,1,0.0,0,0.9979595679909182,2.6514930725097656,0.487,0.49983097142934235,0,1,0.0,0,0.9986250142150694,2.6505205631256104,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,24,0.6915919326468158,0.689992256462574,0.51,0.5019673299150226,0.45789462644870776,0.5034677288877096,0.51,0.6918384581804276
deepsets_mlp_fspool,1,8,12524,64,-100,100,contains_even,True,10000,1000,1000,0.4866,0.49982040774662256,0,1,0.0,0,0.9993933730954585,3.2634477615356445,0.486,0.4998039615689336,0,1,0.0,0,0.9985472453309616,3.262950897216797,0.496,0.4999839997439918,0,1,0.0,0,0.9990656518671805,3.26251220703125,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,20,0.693007591839105,0.6918300315737724,0.504,0.5006880440348183,0.40099872527493835,0.5022056892778993,0.504,0.6931410580873489
deepsets_mlp_fspool,1,8,19692,128,-100,100,contains_even,True,10000,1000,1000,0.4906,0.49991163219113044,0,1,0.0,0,0.999656515041087,3.909062147140503,0.489,0.49987898535545583,0,1,0.0,0,0.9987632631201516,3.9083497524261475,0.494,0.4999639987039066,0,1,0.0,0,0.9990080572620664,3.9059760570526123,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,21,0.6932048329623185,0.692494336515665,0.496,0.49199084668192217,0.4324472184531886,0.4857271965560082,0.496,0.6926620379090309
deepsets_mlp_fspool,1,8,34028,256,-100,100,contains_even,True,10000,1000,1000,0.4918,0.49993275547817423,0,1,0.0,0,0.9997174486130099,4.574507713317871,0.493,0.49995099759876466,0,1,0.0,0,0.9989706199483201,4.5721259117126465,0.498,0.4999959999839998,0,1,0.0,0,0.9991002078959381,4.571247577667236,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,24,0.693193879753534,0.6929098814725876,0.509,0.5077081233299733,0.45172696016771485,0.5132022571410919,0.509,0.6931006051599979
deepsets_mlp_fspool,1,8,62700,512,-100,100,contains_even,True,10000,1000,1000,0.4932,0.49995375786166457,0,1,0.0,0,0.9997780342704705,5.252198219299316,0.493,0.49995099759876466,0,1,0.0,0,0.9989706199483201,5.247480392456055,0.499,0.499998999999,0,1,0.0,0,0.9991088468170801,5.247703552246094,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,17,0.6932344265094302,0.6929904073476791,0.501,0.5,0.3344450366422385,0.25100100000000003,0.501,0.6931618563830853
deepsets_mlp_fspool,1,8,120044,1024,-100,100,contains_even,True,10000,1000,1000,0.4937,0.4999603084245788,0,1,0.0,0,0.9997969308785415,5.936498641967773,0.493,0.49995099759876466,0,1,0.0,0,0.9989706199483201,5.930354118347168,0.5,0.5,0,1,0.5,0,0.9991117264498124,5.93217658996582,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,35,0.6932150281715186,0.693074744194746,0.5,0.5,0.3333333333333333,0.25,0.5,0.6932150796055794
deepsets_mlp_fspool,1,8,16401,8,-100,100,mode,True,10000,1000,1000,120.1032,42.75069063488917,0,200,121.0,103,7.161220696173384,1.5925837755203247,120.459,42.22769611285939,0,200,122.0,102,7.929163900977169,1.5986740589141846,121.719,41.31711556970065,0,200,122.0,104,7.967215456402102,1.58424711227417,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,94,2.4902951387055,3.060361310839653,0.146,0.155306895996265,0.12683568020864566,0.1510895908750303,0.146,3.1190678775310516
